,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
623,28,1983-03-24,premier-liga,Aleksey Eremenko Jr.,Offensives Mittelfeld                            ,2011-11-15,2011.86301369863,11,Rubin Kazan,182,https://www.transfermarkt.ch/aleksey-eremenko-jr-/verletzungen/spieler/16519
624,24,1989-11-24,super-league,Mario Gavranovic,Mittelstürmer                            ,2014-06-28,2014.4876712328767,13,FC Zürich,247,https://www.transfermarkt.ch/mario-gavranovic/verletzungen/spieler/61380
625,19,1997-10-21,ligue-1,Hamza Mendyl,Linker Verteidiger                            ,2017-04-06,2017.2630136986302,17,LOSC Lille B,168,https://www.transfermarkt.ch/hamza-mendyl/verletzungen/spieler/447221
626,32,1978-11-25,2-bundesliga,Srdjan Baljak,Hängende Spitze                            ,2011-04-17,2011.2931506849316,10,MSV Duisburg,183,https://www.transfermarkt.ch/srdjan-baljak/verletzungen/spieler/35968
627,23,1994-01-11,2-liga,Maximilian Ritscher,Defensives Mittelfeld                            ,2017-02-28,2017.158904109589,16,SV Kapfenberg,184,https://www.transfermarkt.ch/maximilian-ritscher/verletzungen/spieler/143950
628,21,1994-01-11,2-liga,Maximilian Ritscher,Defensives Mittelfeld                            ,2015-09-16,2015.7013698630137,15,SV Kapfenberg,225,https://www.transfermarkt.ch/maximilian-ritscher/verletzungen/spieler/143950
629,19,1994-02-13,liga-pro, Alex,Offensives Mittelfeld                            ,2013-10-01,2013.7424657534248,13,FC Penafiel,212,https://www.transfermarkt.ch/alex/verletzungen/spieler/292770
630,27,1980-10-02,premier-league,Filipe Teixeira,Rechtsaußen                            ,2008-03-15,2008.2054794520548,08,West Bromwich Albion,238,https://www.transfermarkt.ch/filipe-teixeira/verletzungen/spieler/5568
631,20,1998-11-06,serie-b,Marco Tumminello,Mittelstürmer                            ,2019-09-15,2019.6986301369864,19,Delfino Pescara 1936,0,https://www.transfermarkt.ch/marco-tumminello/verletzungen/spieler/315850
632,18,1998-11-06,serie-a,Marco Tumminello,Mittelstürmer                            ,2017-09-24,2017.7232876712328,17,FC Crotone,187,https://www.transfermarkt.ch/marco-tumminello/verletzungen/spieler/315850
633,34,1977-10-28,3-liga,Sascha Rösler,Hängende Spitze                            ,2012-08-28,2012.6520547945206,12,Alemannia Aachen,306,https://www.transfermarkt.ch/sascha-rosler/verletzungen/spieler/505
634,20,1992-01-10,premier-league,Emmanuel Frimpong,Defensives Mittelfeld                            ,2012-02-06,2012.0986301369862,11,Wolverhampton Wanderers,224,https://www.transfermarkt.ch/emmanuel-frimpong/verletzungen/spieler/93056
635,18,1992-01-10,premier-reserve-league,Emmanuel Frimpong,Defensives Mittelfeld                            ,2010-08-18,2010.6246575342466,10,FC Arsenal Reserves,195,https://www.transfermarkt.ch/emmanuel-frimpong/verletzungen/spieler/93056
